,id,host_id,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,neighborhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,days_hosted,neighborhood_type
0,241032,956883,2.0,96.0,f,3.0,Queen Anne,47.636289038357184,-122.37102519997765,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,85.0,2,5.0,14,41,71,346,207,95.0,2,4.07,1607.0,high price
1,953595,5177328,1.0,98.0,t,6.0,Queen Anne,47.63912312136253,-122.36566646439582,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,150.0,1,0.0,13,13,16,291,43,96.0,3,1.48,1047.0,high price
2,3308979,16708587,2.0,67.0,f,2.0,Queen Anne,47.629724131577355,-122.3694831756176,House,Entire home/apt,11,4.5,5.0,7.0,Real Bed,975.0,10,25.0,1,6,17,220,20,97.0,3,1.15,571.0,high price
3,7421966,9851441,,,f,1.0,Queen Anne,47.63847320176642,-122.36927912263019,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,100.0,1,0.0,0,0,0,143,0,0.0,1,0.0,789.0,high price
4,278830,1452570,1.0,100.0,f,2.0,Queen Anne,47.63291840276724,-122.37247063402224,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,450.0,6,15.0,30,60,90,365,38,92.0,3,0.89,1497.0,high price
5,5956968,326758,,,f,1.0,Queen Anne,47.630525482401936,-122.36617406518856,House,Private room,2,1.0,1.0,1.0,Real Bed,120.0,1,30.0,0,0,27,302,17,95.0,3,2.45,1836.0,high price
6,1909058,2497928,1.0,100.0,t,1.0,Queen Anne,47.636605445320065,-122.36851905844937,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,1,10.0,20,49,71,346,58,99.0,2,2.46,1314.0,high price
7,856550,4016632,1.0,100.0,t,5.0,Queen Anne,47.640160541214655,-122.37585597885769,Other,Private room,2,1.0,1.0,1.0,Real Bed,60.0,1,0.0,22,42,42,100,173,97.0,3,4.73,1161.0,high price
8,4948745,2166277,,,f,1.0,Queen Anne,47.632410299829,-122.35721606914028,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,90.0,1,0.0,6,36,66,341,8,97.0,3,1.22,1356.0,high price
9,2493658,5177328,1.0,98.0,t,6.0,Queen Anne,47.63749172022628,-122.3668885909212,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,150.0,1,0.0,6,19,49,324,32,97.0,3,1.55,1047.0,high price
10,175576,239585,2.0,100.0,t,1.0,Queen Anne,47.63548170841016,-122.35847776162176,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,95.0,2,15.0,0,0,0,153,181,97.0,2,3.33,1933.0,high price
11,4454295,4606439,2.0,100.0,f,1.0,Queen Anne,47.63721407513561,-122.36004576141458,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,99.0,1,0.0,21,21,21,229,8,97.0,3,0.98,1093.0,high price
12,3883392,19932967,1.0,100.0,t,1.0,Queen Anne,47.6355455115124,-122.37317075183506,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,245.0,1,0.0,30,60,90,362,13,98.0,2,0.92,509.0,high price
13,8889257,25899989,1.0,100.0,f,1.0,Queen Anne,47.629506809234314,-122.3676292967417,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,165.0,4,20.0,13,40,63,337,3,100.0,3,3.0,359.0,high price
